1,Tim Burton,director (4 episodes 2022),
2,James Marshall,director (2 episodes 2022),
3,Gandja Monteiro,director (2 episodes 2022),
4,Charles Addams,based on characters created by (8 episodes 2022),
5,Alfred Gough,writer  (4 episodes 2022),
6,Miles Millar,writer  (4 episodes 2022),
7,Kayla Alpert,writer  (2 episodes 2022),
8,April Blair,writer  (2 episodes 2022),
9,Matt Lambert,writer  (1 episodes 2022),
10,Jenna Ortega,actor/actress: Wednesday Addams (8 episodes 2022),
11,Gwendoline Christie,actor/actress: Principal Larissa Weems (8 episodes 2022),
12,Riki Lindhome,actor/actress: Dr. Valerie Kinbott (8 episodes 2022),
13,Emma Myers,actor/actress: Enid Sinclair (8 episodes 2022),
14,Joy Sunday,actor/actress: Bianca Barclay (8 episodes 2022),
15,Naomi J. Ogawa,actor/actress: Yoko Tanaka (8 episodes 2022),
16,Christina Ricci,actor/actress: Marilyn Thornhill (8 episodes 2022),
17,Jamie McShane,actor/actress: Sheriff Donovan Galpin (8 episodes 2022),
18,Hunter Doohan,actor/actress: Tyler Galpin (8 episodes 2022),
19,Percy Hynes White,actor/actress: Xavier Thorpe (8 episodes 2022),
20,Georgie Farmer,actor/actress: Ajax Petropolus (8 episodes 2022),
21,Johnna Dias-Watson,actor/actress: Divina (8 episodes 2022),
22,Oliver Watson,actor/actress: Kent (8 episodes 2022),
23,Victor Dorobantu,actor/actress: Thing (8 episodes 2022),
24,Moosa Mostafa,actor/actress: Eugene Ottinger (8 episodes 2022),
25,Daniel Himschoot,actor/actress: Hyde Monster (8 episodes 2022),
26,Luyanda Unati Lewis-Nyawo,actor/actress: Deputy Ritchie Santiago (8 episodes 2022),
27,Iman Marson,actor/actress: Lucas (8 episodes 2022),
28,Calum Ross,actor/actress: Rowan Laslow (8 episodes 2022),
29,Cezar Grumazescu,actor/actress: Coach Vlad (8 episodes 2022),
30,Tommie Earl Jenkins,actor/actress: Mayor Noble Walker (8 episodes 2022),
31,Catherine Zeta-Jones,actor/actress: Morticia Addams (8 episodes 2022),
32,Morgan Beale,actor/actress: Jonah (8 episodes 2022),
33,George Burcea,actor/actress: Lurch (8 episodes 2022),
34,Islam Bouakkaz,actor/actress: Carter (8 episodes 2022),
35,William Houston,actor/actress: Joseph Crackstone (8 episodes 2022),
36,Karina Varadi,actor/actress: Wednesday (6yo)  (8 episodes 2022),
37,Rina Mahoney,actor/actress: Janet Ottinger (8 episodes 2022),
38,Georgia Goodman,actor/actress: Sue Ottinger (8 episodes 2022),
39,Murray McArthur,actor/actress: Fabian (8 episodes 2022),
40,Fred Armisen,actor/actress: Uncle Fester (8 episodes 2022),
41,Luis Guzm�n,actor/actress: Gomez Addams (8 episodes 2022),
42,Olimpia Malai,actor/actress: The Minister (8 episodes 2022),
43,Isaac Ordonez,actor/actress: Pugsley Addams (8 episodes 2022),
44,Nitin Ganatra,actor/actress: Dr. Anwar (8 episodes 2022),
45,Lucius Hoyos,actor/actress: Young Gomez (8 episodes 2022),
46,Cheherezade Valentine Okotaka Ebale,actor/actress: Lou-Anne Walker (8 episodes 2022),
47,Oliver Wickham,actor/actress: Young Larissa Weems (8 episodes 2022),
48,Edward Kennedy,actor/actress: MC Blood Suckaz (8 episodes 2022),
49,Ismail Kesu,actor/actress: Young Sheriff Walker (8 episodes 2022),
50,Caroline Lawrie,actor/actress: Martha (8 episodes 2022),
51,Lachele Carl,actor/actress: Agnes (8 episodes 2022),
52,Gwen Jones,actor/actress: Young Morticia Addams (8 episodes 2022),
53,Lisa O'Hare,actor/actress: Arlene (8 episodes 2022),
54,Sophia Nomvete,actor/actress: Connie Jorgensen (8 episodes 2022),
55,Ichir� Y�ki,actor/actress: Kenichi Tanaka (8 episodes 2022),
56,Amanda Drew,actor/actress: Esther Sinclair (8 episodes 2022),
57,Ryan Ellsworth,actor/actress: Murray Sinclair (8 episodes 2022),
58,Gloria Garcia,actor/actress: Goody's Mom (8 episodes 2022),
59,Gracy Goldman,actor/actress: Gabrielle (8 episodes 2022),
60,Lewis Hayes,actor/actress: Garett Gates (8 episodes 2022),
61,Philip Rosch,actor/actress: Ansel Gates (8 episodes 2022),
62,Michael Okele,actor/actress: Morga(uncredited) (8 episodes 2022),
63,Chloe Cate,actor/actress: Studen(uncredited) (8 episodes 2022),
64,Kayla Alpert,executive producer (8 episodes 2022),
65,Gail Berman,executive producer (8 episodes 2022),
66,Tim Burton,executive producer (8 episodes 2022),
67,Jonathan Glickman,executive producer (8 episodes 2022),
68,Carla Gonz�lez Vargas,co-executive producer (8 episodes 2022),
69,Alfred Gough,executive producer (8 episodes 2022),
70,Tommy Harper,executive producer (8 episodes 2022),
71,Nick Iannelli,co-producer (8 episodes 2022),
72,Kevin Lafferty,executive producer (8 episodes 2022),
73,Miles Millar,executive producer (8 episodes 2022),
74,David Minkowski,co-executive producer (8 episodes 2022),
75,Kevin Miserocchi,executive producer (8 episodes 2022),
76,Andrew Mittman,executive producer (8 episodes 2022),
77,Carmen Pepelea,producer (8 episodes 2022),
78,Steve Stark,executive producer (8 episodes 2022),
79,Natalie Testa,associate producer (8 episodes 2022),
80,Todd Williams,co-executive producer (8 episodes 2022),
81,Chris Bacon,music (7 episodes 2022),
82,Danny Elfman,music (4 episodes 2022),
83,Stephan Pehrsson,cinematography (4 episodes 2022),
84,David Lanzenberg,cinematography (4 episodes 2022),
85,Ana Yavari,film editing (4 episodes 2022),
86,Jay Prychidny,film editing (4 episodes 2022),
87,Paul G. Day,film editing (1 episode 2022),
88,Florina Fernandes,casting (8 episodes 2022),
89,Sophie Holland,casting (8 episodes 2022),
90,John Papsidera,casting (8 episodes 2022),
91,Mark Scruton,production design (8 episodes 2022),
92,Adrian Curelea,supervising art director (8 episodes 2022),
93,Ghinea Diana,art direction (8 episodes 2022),
94,Silvia Nancu,art direction (8 episodes 2022),
95,Andrei-Florian Popa,assistant art director / additional standby art director (8 episodes 2022),
96,Serban Porupca,senior art director (8 episodes 2022),
97,Vlad Roseanu,on-set art director / art director (8 episodes 2022),
98,Roxana Alexandru,art direction (3 episodes 2022),
99,Carmen Ratoi,art direction (3 episodes 2022),
100,Laurentiu Zarnoianu,set direction (8 episodes 2022),
101,David Morison,set direction (4 episodes 2022),
102,Rob Hepburn,set direction (4 episodes 2022),
103,Colleen Atwood,costume design (8 episodes 2022),
104,Bianca Boeroiu,makeup artist (8 episodes 2022),
105,Catalin Ciutu,hair stylist supervisor: crowd (8 episodes 2022),
106,Natalie L Costello,special makeup effects artist (8 episodes 2022),
107,Julian Hutcheson,special makeup effects artist (8 episodes 2022),
108,Nirvana Jalalvand,hair & makeup artist: main team (8 episodes 2022),
109,Grace McComisky,prosthetic artist / prosthetic makeup artist (8 episodes 2022),
110,Tara McDonald,hair & makeup designer (8 episodes 2022),
111,Dominic Mombrun,dental effects designer & fabricator (8 episodes 2022),
112,Angela Ruiz Morales,prosthetics artist (8 episodes 2022),
113,Paraschiv Oana,makeup artist (8 episodes 2022),
114,Alexandru Sassu,assistant makeup artist (8 episodes 2022),
115,Bas Schwarz,special effects makeup artist: mouldmaker & props (8 episodes 2022),
116,Rub�n Serra,special makeup effects artist (8 episodes 2022),
117,Margo Stefan,hair stylist (8 episodes 2022),
118,Viktoria Stieber,prosthetic makeup artist (8 episodes 2022),
119,Sinead Sweeney,SFX contact lens coordinator (8 episodes 2022),
120,Iuliana Temelie,hair stylist (8 episodes 2022),
121,Clara Tudose,hair & makeup artist (8 episodes 2022),
122,Raquel �lvarez,prosthetic makeup sculptor (8 episodes 2022),
123,Freda Ellis,makeup supervisor (6 episodes 2022),
124,Ripley Dale-Gulston,junior hair & makeup artist (6 episodes 2022),
125,Olimpia Stoicea,hair & makeup artist: main team (6 episodes 2022),
126,Tia Costell,junior hair & makeup artist (4 episodes 2022),
127,Susan Cole,personal hair stylist: Luis Guzman (4 episodes 2022),
128,Jean Carlos de Blas,key hair & makeup artist (4 episodes 2022),
129,Gabriella Havens,makeup artist (3 episodes 2022),
130,Sheherezada Kouchaki,makeup artist (4 episodes 2022),
131,Raluca Moldoveanu,makeup artist (4 episodes 2022),
132,Andrea Dardea Tesdall,special makeup effects artist (3 episodes 2022),
133,Nicoleta Toader,hair stylist: cast (4 episodes 2022),
134,Natalie Fox,additional hair & makeup artist (2 episodes 2022),
135,Niki De Jong,prosthetic makeup artist (1 episode 2022),
136,Ionel Popa,special makeup effects artist (1 episode 2022),
137,Athina Sapanidis,prosthethic makeup artist (1 episode 2022),
138,Razvan Badea,unit production manager / production manager (8 episodes 2022),
139,Irene Iovan Calangiu,health & safety unit production manager: covid (8 episodes 2022),
140,Alexandru Cseh,production manager: second unit (8 episodes 2022),
141,Emma Mallett,unit production manager: additional photography (1 episode 2022),
142,Alexandru Acsinte,assistant director (8 episodes 2022),
143,Emilie Balusson,second second assistant director / co-second assistant director (8 episodes 2022),
144,Bianca Bumbacea,assistant director (8 episodes 2022),
145,Simona Dinu,second assistant director (8 episodes 2022),
146,Mariana Grama,crowd second assistant director (8 episodes 2022),
147,Mircea Hategan,first assistant director (8 episodes 2022),
148,Stefania Ispas,trainee assistant director (8 episodes 2022),
149,Loyzo,third assistant director (8 episodes 2022),
150,Raphael Tudor,third assistant director (8 episodes 2022),
151,Costin Sforaru,assistant director (7 episodes 2022),
152,Sabina Balan,crowd first assistant director (6 episodes 2022),
153,Brett Chan,second unit director (6 episodes 2022),
154,Ada Dumitru,cast assistant (6 episodes 2022),
155,Emyr Glyn Rees,second assistant director / first assistant director (6 episodes 2022),
156,Jessica Kirec,second assistant director (4 episodes 2022),
157,George Walker,first assistant director (4 episodes 2022),
158,Richard O'Brien-Moran,first assistant director (2 episodes 2022),
159,Mihaela Ionita,second assistant director (2 episodes 2022),
160,Alexandra Popa,crowd second assistant director (1 episode 2022),
161,Alexandru Trandafira,crowd assistant director (2 episodes 2022),
162,Sucioaia Alexandra,set dressing painter (8 episodes 2022),
163,Tache Alexandru,graphic designer (8 episodes 2022),
164,Corneliu Mihai Bonciu,sculptor (8 episodes 2022),
165,Rachel Garlick,storyboard artist (8 episodes 2022),
166,Florin Gavrila,lead set dressing painter (8 episodes 2022),
167,Adi Handac,property master (8 episodes 2022),
168,Dana Ilie,art department manager (8 episodes 2022),
169,Alexandru Titus Ipate,action vehicles supervisor (8 episodes 2022),
170,Simona Maican,art department coordinator (8 episodes 2022),
171,Cristian Mihaila,assistant set decorator / set decoration buyer (8 episodes 2022),
172,Cosmin Miroiu,head of greenery (8 episodes 2022),
173,Amalia Mititelu,set dressing painter (8 episodes 2022),
174,Pietro Nume,concept artist (8 episodes 2022),
175,Iulia Petrescu,assistant set decorator (8 episodes 2022),
176,Madalina Ripanu,clearance coordinator (8 episodes 2022),
177,Geaniloni Sandru,lead painter (8 episodes 2022),
178,Eusebiu Sirbu,head graphic designer (8 episodes 2022),
179,Cristina Stefan,graphic designer (8 episodes 2022),
180,Alexandra Tudor,assistant art director (8 episodes 2022),
181,Laurentiu Zarnoianu,leadman (8 episodes 2022),
182,Liviu Antonescu,graphic designer (6 episodes 2022),
183,Madalina Ciosu,set designer (6 episodes 2022),
184,Tudor Iordachescu,set designer (6 episodes 2022),
185,Anca Iscru,set designer (6 episodes 2022),
186,Ana Neag,assistant art director (6 episodes 2022),
187,Iulia Pasarica,assistant art director (6 episodes 2022),
188,Andreea Siminea,set designer (6 episodes 2022),
189,Amy Lockwood,assistant set decorator (4 episodes 2022),
190,Andrew Cherry,storyboard artist (3 episodes 2022),
191,Cristian Darstar,storyboard artist (3 episodes 2022),
192,Adrian Curelea,supervising art director (2 episodes 2022),
193,Serban Porupca,senior art director (2 episodes 2022),
194,Radu Costache,assistant property master (1 episode 2022),
195,Jennifer Keen,first set decoration buyer (1 episode 2022),
196,Karen Krizanovich,production design researcher (1 episode 2022),
197,Ben Livingstone,illustrator (1 episode 2022),
198,Yohann Angelvy,french casting mixer (8 episodes 2022),
199,Michael Baskerville,re-recording mixer (8 episodes 2022),
200,Nicolae Comarzan,sound mixer: second unit (8 episodes 2022),
201,Tony Diaz,adr mixer (8 episodes 2022),
202,Arturo A. Fuenmayor,re-recording mix assistant / additional re-recording mixer (8 episodes 2022),
203,Alastair Gray,dialogue editor (8 episodes 2022),
204,Justin Helle,foley mixer (8 episodes 2022),
205,John Loranger,supervising sound editor (8 episodes 2022),
206,Liviu Lupsa,sound mixer (8 episodes 2022),
207,Kristi McIntyre,adr editor / sound effects editor (8 episodes 2022),
208,Sean Miller,adr recordist (8 episodes 2022),
209,Faustine Pelipel,assistant sound editor (8 episodes 2022),
210,Dan Sexton,sound effects editor (8 episodes 2022),
211,Alex Stylianou,adr recordist (8 episodes 2022),
212,Jamie Sulek,re-recording mixer (8 episodes 2022),
213,Mike Tehrani,adr mixer (8 episodes 2022),
214,Marcus Byrne,adr mixer (7 episodes 2022),
215,Greg Crawford,adr mixer (7 episodes 2022),
216,Juan Martin Del Campo,adr mixer (7 episodes 2022),
217,Tim McKeever,adr mixer (7 episodes 2022),
218,Simon Diggins,adr mixer (6 episodes 2022),
219,Jonathan Gomez,adr mixer (4 episodes 2022),
220,Nathan Jackson,foley editor (1 episode 2022),
221,William Kellerman,foley artist (1 episode 2022),
222,Leslie Liu,adr mixer (2 episodes 2022),
223,Ana Quiroga,audio coordinator (uncredited) (8 episodes 2022),
224,Dan Barcutean,special effects technician (8 episodes 2022),
225,Max Costello,special effects technician (7 episodes 2022),
226,Florin Stoian,special effects technician (8 episodes 2022),
227,Harry Troughton,special effects coordinator (8 episodes 2022),
228,Jason Troughton,special effects supervisor (8 episodes 2022),
229,Adrian Nica,lead technician (4 episodes 2022),
230,Ilinca Angelescu,special effects makeup (1 episode 2022),
231,Yovko Dogandjiiski,special effects supervisor (2 episodes 2022),
232,Antonia Tocheva,special effects office coordinator (2 episodes 2022),
233,Matthew Adams,digital compositor: Ghost VFX Toronto (8 episodes 2022),
234,Oana Bardan,visual effects coordinator (8 episodes 2022),
235,Craig Calvert,visual effects supervisor: Mr. X (8 episodes 2022),
236,Kevin Chandoo,head of studio: Ghost VFX Toronto (8 episodes 2022),
237,Nick Colangelo,visual effects producer: Mr. X (8 episodes 2022),
238,John Coldrick,visual effects supervisor: Rocket Science VFX (8 episodes 2022),
239,Sam Cole,lighting lead: Mr. X (8 episodes 2022),
240,Chris Cooper,cg supervisor: Mr. X (8 episodes 2022),
241,Roger Dalupang,lead render wrangler/pipeline td (8 episodes 2022),
242,Swedyl DSouza,visual effects production manager (8 episodes 2022),
243,Maxime Ducharme,visual effects artist: MELS (2 episodes 2022),
244,Paula Fanaia,digital compositor: Ghost VFX Toronto (8 episodes 2022),
245,Mariah Fleetham,visual effects production assistant: Take 5 VFX (8 episodes 2022),
246,Kathryn Foster,visual effects editor: Ghost VFX Toronto (8 episodes 2022),
247,Ben Funk,lead compositor: Take 5 VFX (8 episodes 2022),
248,Keith Goh,visual effects assistant editor: MPC (8 episodes 2022),
249,Kari-Lyn Gravel,visual effects associate line producer: Stereo D (8 episodes 2022),
250,Jon Howard,visual effects producer: Ghost VFX Toronto (6 episodes 2022),
251,Kent Johnson,visual effects producer (8 episodes 2022),
252,Anna Joukova,compositor: Take 5 VFX / visual effects compositor: Take 5 VFX (8 episodes 2022),
253,Jesse Kawzenuk,on-set visual effects supervisor (8 episodes 2022),
254,Grant Lee,visual effects supervisor: Stereo D (8 episodes 2022),
255,Jake Lunt Davies,concept design (8 episodes 2022),
256,Dumitrana Teodora Lupu,visual effects production assistant (8 episodes 2022),
257,Amy Madigan,visual effects production manager: Stereo D (8 episodes 2022),
258,Yael Majors,visual effects assistant supervisor: Stereo D (3 episodes 2022),
259,Mariano Mendoza,assets lead: Mr. X (8 episodes 2022),
260,Guillermo Molina,lead tools developer (8 episodes 2022),
261,Skye Morandin,visual effects production manager: Stereo D (8 episodes 2022),
262,Tom Nagy,animation supervisor: Mr. X (8 episodes 2022),
263,Ken Nielsen,compositing supervisor: Ghost VFX Toronto (8 episodes 2022),
264,Razvan Nineaca,data wrangler (8 episodes 2022),
265,Anthony O'Connell,Render Wrangler (8 episodes 2022),
266,Catalin Otelea,data wrangler (8 episodes 2022),
267,Matei Ovejan,data wrangler (8 episodes 2022),
268,Alessandro Pantanella,visual effects supervisor: Ghost VFX Toronto (8 episodes 2022),
269,Travis Pond,compositor: Take 5 VFX (8 episodes 2022),
270,Yawar Raja,layout lead: Mr. X (8 episodes 2022),
271,Aditya Sawant,visual effects coordinator: Ghost VFX Toronto (8 episodes 2022),
272,Matt Schofield,vfx head of operations (8 episodes 2022),
273,Ksenia Shutova,compositor: Take 5 VFX (8 episodes 2022),
274,Mark Simone,visual effects producer: Stereo D (8 episodes 2022),
275,Denis St-Pierre,compositor: Take 5 VFX (8 episodes 2022),
276,Ryan Terk,Senior Visual Effects Coordinator / visual effects coordinator: MELS (8 episodes 2022),
277,Jason Teske,rigging lead: Mr. X (8 episodes 2022),
278,Tom Turnbull,visual effects supervisor (8 episodes 2022),
279,Fabi�n Varela,visual effects producer: Ghost VFX Toronto (8 episodes 2022),
280,Kelly Weisz,visual effects studio manager: Take 5 VFX (8 episodes 2022),
281,Angela Zhang,visual effects production manager: Mr. X (8 episodes 2022),
282,Kayden Anderson,visual effects producer: Rocket Science VFX (7 episodes 2022),
283,Eddie Englander,visual effects supervisor: Monsters Aliens Robots Zombies (2 episodes 2022),
284,Rashid Khallouk,compositing lead: Mr. X (6 episodes 2022),
285,Timothy Mah,visual effects editor: Rocket Science VFX (7 episodes 2022),
286,Michael Osuszek,visual effects coordinator: Rocket Science VFX (7 episodes 2022),
287,Rodrigo Paiva,compositing lead: Monsters Aliens Robots Zombies (1 episode 2022),
288,Suresh Pandi,lead compositor: Rocket Science VFX / compositor: Rocket Science VFX (7 episodes 2022),
289,Francois Robert,matchmove/layout artist: MELS (3 episodes 2022),
290,Adam Smith,lead compositor: Rocket Science VFX (7 episodes 2022),
291,Sarvesh Amre,visual effects production manager: NetFX Mumbai (6 episodes 2022),
292,Beno�t Bri�re,visual effects supervisor: MELS (6 episodes 2022),
293,Paul Chambers,assets supervisor: Monsters Aliens Robots Zombies (1 episode 2022),
294,Dipak Gaur,digital compositor: Ghost VFX Toronto (6 episodes 2022),
295,Taraknath Ghosh,paint artist: Stereo D (5 episodes 2022),
296,Baz Lanaris,cg supervisor: MELS (6 episodes 2022),
297,Prateek Mishra,paint artist: Stereo D (5 episodes 2022),
298,Erin Nicholson,cg supervisor: Ghost VFX Toronto (6 episodes 2022),
299,Bikram Singh,paint artist: Stereo D (5 episodes 2022),
300,Khushroo Surveyor,visual effects lighter: Rocket Science VFX (5 episodes 2022),
301,Ramesh Kumar Yanagandhula,paint artist: Stereo D (5 episodes 2022),
302,Lynx Zuo,digital compositor: Ghost VFX Toronto (6 episodes 2022),
303,Patti Gannon,compositor: Take 5 VFX (4 episodes 2022),
304,Tanya Haddad,visual effects producer: Folks VFX (5 episodes 2022),
305,JoAnna Johnson,compositor: Rocket Science VFX (4 episodes 2022),
306,Luca Lim Diniz,visual effects artist: MELS (4 episodes 2022),
307,Brodie McNeill,visual effects supervisor: Folks VFX (5 episodes 2022),
308,Tabata Ortiz,visual effects artist: MELS (4 episodes 2022),
309,Nishant Patel,visual effects lighter: Rocket Science VFX (1 episode 2022),
310,Umapathy Rajarathinam,compositor: Rocket Science VFX (4 episodes 2022),
311,Genesis Rivas,compositor: Take 5 VFX (4 episodes 2022),
312,Manish Rohith,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),
313,Luca Gabriele Rossetti,digital matte painter/environment supervisor: Monsters Aliens Robots Zombies (1 episode 2022),
314,Salil Thapa,visual effects line producer: NetFX Mumbai (5 episodes 2022),
315,Fran�ois Trudel,visual effects artist: MELS / visual effects supervisor: MELS (4 episodes 2022),
316,Wesley While,compositor: Take 5 VFX (5 episodes 2022),
317,Kaylie Whitcher,visual effects producer: Folks VFX (5 episodes 2022),
318,Sarah Wormsbecher,visual effects executive producer: Folks VFX (5 episodes 2022),
319,Summer Zong,cg supervisor: Folks VFX (5 episodes 2022),
320,Oksana Andrulis,visual effects production manager: Folks VFX / animation coordinator: Folks VFX (3 episodes 2022),
321,David Dionne,visual effects artist: MELS (2 episodes 2022),
322,Josh George,fx lead: Folks VFX (3 episodes 2022),
323,James Takashi Higuchi,lighting supervisor: Monsters Aliens Robots Zombies (1 episode 2022),
324,Christopher Jude,compositor: Rocket Science VFX (3 episodes 2022),
325,Jos� Lasa,compositor: Rocket Science VFX / visual effects lighter: Rocket Science VFX (3 episodes 2022),
326,Marco Lee,compositing supervisor: Folks VFX (3 episodes 2022),
327,Dinaaz Mathur,visual effects production coordinator: NetFX Mumbai (4 episodes 2022),
328,Ben McDougal,surfacing lead: Monsters Aliens Robots Zombies (4 episodes 2022),
329,Sumit Mukherjee,paint supervisor: NetFX Mumbai (4 episodes 2022),
330,Isha Nigam,head of production: NetFX Mumbai (4 episodes 2022),
331,Ryan Jae Wook Park,layout supervisor: Folks VFX (3 episodes 2022),
332,Gustavo Sanchez-Perez,fx supervisor: Monsters Aliens Robots Zombies (1 episode 2022),
333,Kyle Sim,head of 2d: Folks VFX (4 episodes 2022),
334,Pankaj Umbarkar,junior paint lead: NetFX Mumbai (4 episodes 2022),
335,Sahil Agrahari,junior paint artist: NetFX Mumbai (2 episodes 2022),
336,Chris Archinet,visual effects artist: MELS (2 episodes 2022),
337,Ajay Kumar Attinti,roto lead: NetFX Mumbai (3 episodes 2022),
338,Samuel Boisvert,visual effects artist: MELS (2 episodes 2022),
339,Reine Bourgault,visual effects artist: MELS (2 episodes 2022),
340,Aakash Chaudhari,roto artist: NetFX Mumbai (2 episodes 2022),
341,Dave David,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),
342,Amod Diwakar,assistant visual effects line producer: Stereo D / visual effects assistant line producer: Stereo D (3 episodes 2022),
343,Nadine Fr�ve,lead visual effects editor: Folks VFX / visual effects editor: Folks VFX (2 episodes 2022),
344,Mark Goldberg,compositor (2 episodes 2022),
345,Leonardo Andres Grabau Villalba,visual effects artist: MELS (2 episodes 2022),
346,Jonathan Gr�goire,visual effects artist: MELS (3 episodes 2022),
347,Jeanne Hebert,visual effects artist: MELS (2 episodes 2022),
348,Pravin Hodage,2d supervisor: NetFX Mumbai (2 episodes 2022),
349,Cory Humes,animation supervisor: Folks VFX (3 episodes 2022),
350,Siddarth Jambhulkar,compositor: Rocket Science VFX (2 episodes 2022),
351,Mukesh Joshi,senior i/o coordinator: NetFX Mumbai (2 episodes 2022),
352,Simon Lecavalier,cg supervisor: MELS (2 episodes 2022),
353,Christophe Longtin,visual effects artist: MELS (2 episodes 2022),
354,Oleg Memukhin,fx supervisor: Folks VFX (3 episodes 2022),
355,Waseem Mohammed,head of central production: Monsters Aliens Robots Zombies (2 episodes 2022),
356,Dany Richard,visual effects artist: MELS (2 episodes 2022),
357,Nisarg Suthar,lighting supervisor: Folks VFX (3 episodes 2022),
358,Nitesh Sutrave,compositing supervisor: NetFX Mumbai (3 episodes 2022),
359,Sarvesh Talekar,roto artist: NetFX Mumbai (2 episodes 2022),
360,Himani Tyagi,junior paint artist: NetFX Mumbai (2 episodes 2022),
361,Waseem Ahmad Khan,paint artist: Stereo D (1 episode 2022),
362,Rodrigo Albano,environment artist: Monsters Aliens Robots Zombies (1 episode 2022),
363,Don Carlo Alvir,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),
364,Leanndro Amorim,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),
365,Seshadri Anand,tracking/layout lead: Monsters Aliens Robots Zombies (1 episode 2022),
366,Blake Anderson,visual effects supervisor: VFX Legion (1 episode 2022),
367,Schuyler Anderson,tracking/layout lead: Monsters Aliens Robots Zombies (1 episode 2022),
368,Edwin Arismendez,visual effects artist: MELS (2 episodes 2022),
369,Jessica Bayliss,head of production: Monsters Aliens Robots Zombies (2 episodes 2022),
370,Sudhakar Bhavanasi,deputy manager: Stereo D (1 episode 2022),
371,Alan Bisht,compositing artist: NetFX Mumbai (1 episode 2022),
372,William Blanchette,visual effects artist: MELS (1 episode 2022),
373,Jordan Boulais,visual effects artist: MELS (2 episodes 2022),
374,J. Alan Bradshaw,head of cg: Monsters Aliens Robots Zombies (2 episodes 2022),
375,Peter Braeley,digital matte painter: Folks VFX (1 episode 2022),
376,Charlotte Breton,visual effects editor: Folks VFX (1 episode 2022),
377,Alex Bronfman,sales lead: Monsters Aliens Robots Zombies (2 episodes 2022),
378,Jonathan Bronfman,head of studio: Monsters Aliens Robots Zombies (2 episodes 2022),
379,Dennis Chan,animation artist: Monsters Aliens Robots Zombies (1 episode 2022),
380,Hardik Chauhan,senior compositing artist: NetFX Mumbai (1 episode 2022),
381,Molly Chen,assets artist: Monsters Aliens Robots Zombies (1 episode 2022),
382,Sujesh V. Chitty,concept artist: Folks VFX (1 episode 2022),
383,Nolan Conrad,digital compositor: VFX Legion (1 episode 2022),
384,Andr�s Couturier,graphic artist: VFX Legion (1 episode 2022),
385,Madhu Dasyapu,assistant roto supervisor: Stereo D (1 episode 2022),
386,Rodrigo de Angelis,fx artist: Monsters Aliens Robots Zombies (1 episode 2022),
387,Sofia Diaz,lighting artist: Monsters Aliens Robots Zombies (1 episode 2022),
388,Maya Dumont-Deslandes,visual effects studio manager: MELS (1 episode 2022),
389,Abdullah Ecirli,compositing artist: Monsters Aliens Robots Zombies (1 episode 2022),
390,Manoj Kumar Elangovan,tracking & layout artist: Monsters Aliens Robots Zombies (1 episode 2022),
391,Michael Enzbrunner,animation lead: Monsters Aliens Robots Zombies (1 episode 2022),
392,Timothy Fleur,creature artist: Monsters Aliens Robots Zombies (1 episode 2022),
393,Adam Fok,rigging lead: Monsters Aliens Robots Zombies (1 episode 2022),
394,Gil Franco,assets artist: Monsters Aliens Robots Zombies (1 episode 2022),
395,Emily Funk,assets artist: Monsters Aliens Robots Zombies (1 episode 2022),
